#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2021-03-28-11-01-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1601060283.917166	CU00XE3QNI78Faoteg	192.168.100.224	49312	143.204.215.108	443	tcp	ssl	0.332258	581	5920	SF	-	-	0	ShADadFRf	9	953	11	6372	-
1601060283.904507	CBKzXu33xDDZikGUP7	192.168.100.224	49308	143.204.215.108	443	tcp	ssl	0.349176	581	5441	SF	-	-	0	ShADadFRf	9	953	10	5853	-
1601060283.952480	CbFMwH1ON2Ggd3Rpl4	192.168.100.224	49319	143.204.215.108	443	tcp	ssl	0.301221	581	5920	SF	-	-	0	ShADadFRf	10	993	12	6412	-
1601060283.934502	C393CPhYLYu7KAnEd	192.168.100.224	49316	143.204.215.108	443	tcp	ssl	0.319224	581	5379	SF	-	-	0	ShADadFf	8	913	9	5751	-
1601060280.628362	C2fPEC4vEqDLKRKdIk	192.168.100.224	65454	192.168.100.2	53	udp	dns	0.000169	32	48	SF	-	-	0	Dd	1	60	1	76	-
1601060285.684725	CosmduGG5PSJvTIh5	192.168.100.224	49360	216.58.207.35	443	tcp	-	3.028738	0	0	S0	-	-	0	S	2	104	0	0	-
1601060282.752369	CRoGkh2CiUsDMGBLQ8	fe80::b9a3:aa8f:3e8e:fe86	53789	ff02::1:3	5355	udp	dns	0.100758	60	0	S0	-	-	0	D	2	156	0	0	-
1601060282.752432	C2byyt4URlKVyfRcf2	fe80::b9a3:aa8f:3e8e:fe86	61086	ff02::1:3	5355	udp	dns	0.100767	66	0	S0	-	-	0	D	2	162	0	0	-
1601060282.752570	CYepkr37CctVBb9Xaa	192.168.100.224	51520	224.0.0.252	5355	udp	dns	0.100678	60	0	S0	-	-	0	D	2	116	0	0	-
1601060282.752689	CxnDwe2eSwF9ZS5DXl	192.168.100.224	53707	224.0.0.252	5355	udp	dns	0.100590	66	0	S0	-	-	0	D	2	122	0	0	-
1601060282.752748	Cla3bG3yobQK4oLTf	fe80::b9a3:aa8f:3e8e:fe86	54885	ff02::1:3	5355	udp	dns	0.100638	54	0	S0	-	-	0	D	2	150	0	0	-
1601060282.752881	CBgUHd2RiDrI0cOLb3	192.168.100.224	52570	224.0.0.252	5355	udp	dns	0.100606	54	0	S0	-	-	0	D	2	110	0	0	-
1601060283.137295	CTJVJi49H5hbT0rkbb	192.168.100.224	60977	192.168.100.2	53	udp	dns	0.014628	35	99	SF	-	-	0	Dd	1	63	1	127	-
1601060283.894666	CsEpgoYMuhnB2QKL3	192.168.100.224	65521	192.168.100.2	53	udp	dns	0.008283	35	99	SF	-	-	0	Dd	1	63	1	127	-
1601060284.267362	CMbU2D2KKAyg8gcZzh	192.168.100.224	49925	192.168.100.2	53	udp	dns	0.002734	42	105	SF	-	-	0	Dd	1	70	1	133	-
1601060289.733023	CLbKFe2gwC62NArJg3	192.168.100.224	49252	172.217.16.164	443	tcp	-	-	-	-	S0	-	-	0	S	1	48	0	0	-
1601060284.860303	CRbB9k9k7ty0WNe0k	192.168.100.224	53763	192.168.100.2	53	udp	dns	0.016171	41	127	SF	-	-	0	Dd	1	69	1	155	-
1601060284.862546	C4LFxw4P2UaY9fkQXb	192.168.100.224	49567	192.168.100.2	53	udp	dns	0.000593	38	54	SF	-	-	0	Dd	1	66	1	82	-
1601060285.105643	CynmMC2VNfiHAvFbKh	192.168.100.224	62172	192.168.100.2	53	udp	dns	0.005698	35	87	SF	-	-	0	Dd	1	63	1	115	-
1601060285.113661	CySMOg4HoB05ukA9cc	192.168.100.224	50630	192.168.100.2	53	udp	dns	0.013984	31	47	SF	-	-	0	Dd	1	59	1	75	-
1601060285.437785	CYBrOp3djEDC7B3CW7	192.168.100.224	56314	192.168.100.2	53	udp	dns	0.000323	42	105	SF	-	-	0	Dd	1	70	1	133	-
1601060285.658590	CsJZcj4m6vM6QgIZZ2	192.168.100.224	56257	192.168.100.2	53	udp	dns	0.025410	33	49	SF	-	-	0	Dd	1	61	1	77	-
1601060279.648018	CYiHLtazXtiE3RX0b	192.168.100.224	49182	199.30.234.133	443	tcp	ssl	11.073855	568	143	SF	-	-	0	ShADadFf	7	860	7	435	-
1601060285.827015	Co0n3R1c8tAXnXNYr5	192.168.100.224	63181	192.168.100.2	53	udp	dns	0.006127	45	81	SF	-	-	0	Dd	1	73	1	109	-
1601060276.150627	ChjDGwdcfdyempzJh	192.168.100.224	5353	224.0.0.251	5353	udp	dns	3.035627	120	0	S0	-	-	0	D	3	204	0	0	-
1601060276.186983	CXjSk74TficUvRVfih	fe80::b9a3:aa8f:3e8e:fe86	5353	ff02::fb	5353	udp	dns	2.999365	120	0	S0	-	-	0	D	3	264	0	0	-
1601060293.690542	CROrJg23PJCH3Bc1Ll	192.168.100.224	49491	162.241.149.69	443	tcp	-	0.030803	0	0	RSTOS0	-	-	0	SaR	2	92	1	40	-
1601060281.784883	C10Ee44CNjxtt5VQv1	192.168.100.224	49216	209.197.3.24	443	tcp	ssl	10.289390	615	320	RSTO	-	-	0	ShADadtFR	7	919	6	646	-
1601060282.028319	CCg5e91abzELrKmdg1	192.168.100.224	49223	209.197.3.15	443	tcp	ssl	10.407582	623	320	RSTO	-	-	0	ShADadFR	7	915	5	532	-
1601060276.609112	CR5dLn2Y8IhVPqWaif	192.168.100.224	49179	199.30.234.133	443	tcp	ssl	16.890271	3200	9996	SF	-	-	0	ShADadfF	17	3892	22	10888	-
1601060294.788627	Cocmsf1MJI6aXfvWlh	192.168.100.224	49360	216.58.207.35	443	tcp	-	-	-	-	S0	-	-	0	S	1	48	0	0	-
1601060290.072439	ChJqM540SLy54lmuki	192.168.100.224	63640	192.168.100.2	53	udp	dns	0.000218	37	87	SF	-	-	0	Dd	1	65	1	115	-
1601060290.532993	CjuMdo2bFxpqlp5n43	192.168.100.224	64342	192.168.100.2	53	udp	dns	0.013916	37	53	SF	-	-	0	Dd	1	65	1	81	-
1601060290.682536	CHPL4FJs5Rr8XYR3a	192.168.100.224	62549	192.168.100.2	53	udp	dns	0.000152	46	102	SF	-	-	0	Dd	1	74	1	130	-
1601060292.097128	CW8iKs3HTzMobd5XI5	192.168.100.224	64021	192.168.100.2	53	udp	dns	0.327704	35	51	SF	-	-	0	Dd	1	63	1	79	-
1601060272.439360	CC9S3G178KjzSMTGRk	192.168.100.224	137	192.168.100.255	137	udp	dns	12.114023	1186	0	S0	-	-	0	D	23	1830	0	0	-
1601060293.689258	CgaxfB2a10OmvVFSIe	192.168.100.224	63147	192.168.100.2	53	udp	dns	0.014479	37	53	SF	-	-	0	Dd	1	65	1	81	-
1601060293.689492	C0nMgz1uqiwfGlMKId	192.168.100.224	53355	192.168.100.2	53	udp	dns	0.007075	38	70	SF	-	-	0	Dd	1	66	1	98	-
1601060293.992895	CBLcdP3FZgXSGrUosa	192.168.100.224	57997	192.168.100.2	53	udp	dns	0.016446	37	77	SF	-	-	0	Dd	1	65	1	105	-
1601060285.833645	CoBiz53gvQ1QjY3bQ1	192.168.100.224	49363	52.94.242.65	443	tcp	ssl	6.389268	2485	6915	S1	-	-	0	ShADadt	14	3081	19	7687	-
1601060284.877086	CoNrtl4WXdX1ERFdLl	192.168.100.224	49337	66.102.1.157	443	tcp	ssl	1.139416	1665	4379	S1	-	-	0	ShADad	14	2237	20	5191	-
1601060284.968211	CVxG5Ea9kCA2dzPG9	192.168.100.224	49340	66.102.1.157	443	tcp	ssl	0.440242	581	3460	S1	-	-	0	ShADadt	7	885	8	4372	-
1601060283.154819	CNWSUk2Rf0gfnQt089	192.168.100.224	49295	99.86.7.123	443	tcp	ssl	1.793741	1371	15669	S1	-	-	0	ShADad	15	1983	24	16641	-
1601060293.697176	CGnrhn2NZrtL4KgBXh	192.168.100.224	49492	104.17.78.107	443	tcp	ssl	0.167199	935	9617	S1	-	-	0	ShADad	11	1387	16	10269	-
1601060276.611136	CfMUJJ3uRinNboPSV7	192.168.100.224	49181	142.250.74.195	443	tcp	ssl	13.152611	988	82373	S1	-	-	0	ShADad	42	2680	100	86385	-
1601060283.904773	CDXcwz2AiaISx4pki4	192.168.100.224	49309	143.204.215.108	443	tcp	ssl	0.433503	1385	107018	S1	-	-	0	ShADadt	66	4037	129	112190	-
1601060286.935130	CRcm824r2ZUyvSmvri	192.168.100.224	49310	143.204.215.108	443	tcp	ssl	0.437014	581	5441	S1	-	-	0	ShADadt	8	925	10	5915	-
1601060283.931011	C3Ykm52KO6bFqrb77l	192.168.100.224	49315	143.204.215.108	443	tcp	ssl	2.414070	3198	484000	S1	-	-	0	ShADadtt	257	14078	468	502732	-
1601060286.975225	CttxFb1bLJjN9CivCi	192.168.100.224	49318	143.204.215.108	443	tcp	ssl	0.408136	581	5920	S1	-	-	0	ShADad	8	913	10	6332	-
1601060290.683232	CwUnrt1AMzCUUb7QN5	192.168.100.224	49445	159.148.69.140	80	tcp	http	0.714587	518	855047	S1	-	-	0	ShADadt	362	15202	733	884379	-
1601060292.426003	CdfdJG5WVuAEBLRcd	192.168.100.224	49474	162.241.149.69	443	tcp	ssl	7.545123	3320	314144	S3	-	-	0	ShADadttf	151	9636	282	325436	-
1601060292.436152	CYRLPg1G2OkajxwExd	192.168.100.224	49475	162.241.149.69	443	tcp	ssl	6.619591	1485	11400	S3	-	-	0	ShADadf	12	1977	19	12172	-
1601060296.733079	CFSi1w2E7fSQZJjJyd	192.168.100.224	49491	162.241.149.69	443	tcp	ssl	0.771433	665	531	S1	-	-	0	ShADadt	6	929	6	1070	-
1601060283.908780	CC66G92TSqZU0G3MIf	192.168.100.224	49257	172.217.16.164	443	tcp	ssl	0.320158	935	4106	S1	-	-	0	ShADad	11	1387	14	4678	-
1601060288.153232	CIrdHc2sFFhuwUNbol	192.168.100.224	49342	172.217.16.164	443	tcp	ssl	10.140671	648	212	S3	-	-	0	ShADadf	5	860	5	424	-
1601060285.363079	C68YM422TLLEvBMCK1	192.168.100.224	49351	172.217.16.164	443	tcp	ssl	0.764233	1563	4246	S1	-	-	0	ShADad	16	2215	23	5178	-
1601060288.454296	CiQWEz27N9cIWSanEg	192.168.100.224	49353	172.217.16.164	443	tcp	ssl	10.142331	648	212	S3	-	-	0	ShADadf	5	860	5	424	-
1601060285.112533	CrHUbT3lYxo5y1ySr	192.168.100.224	49343	172.217.16.195	443	tcp	ssl	1.100907	1096	35907	S1	-	-	0	ShADadt	30	2320	51	38539	-
1601060284.864266	CEg4mc1Fta43owErtl	192.168.100.224	49336	172.217.21.202	443	tcp	ssl	0.267998	1054	5026	S1	-	-	0	ShADad	11	1506	15	5638	-
1601060276.609582	C9qeOZ3im3LNw0jiM5	192.168.100.224	49180	172.217.22.77	443	tcp	ssl	1.673149	1032	4649	S1	-	-	0	ShADad	11	1484	15	5261	-
1601060287.302337	CPXkdk4g3rQ7RHMuFi	192.168.100.224	49324	172.217.23.174	443	tcp	ssl	0.409139	658	792	S1	-	-	0	ShADad	5	870	5	1004	-
1601060284.517322	CYn0Hu49gAcyLrbK3k	192.168.100.224	49330	172.217.23.174	443	tcp	ssl	1.396802	2879	24647	S1	-	-	0	ShADad	28	4011	49	26619	-
1601060281.784860	C4jxQ03YqgsLTGAQdd	192.168.100.224	49217	209.197.3.15	443	tcp	ssl	0.207170	1125	37374	S1	-	-	0	ShADad	24	2097	42	39066	-
1601060293.688442	CEoZAJ3ocOQTpQrAte	192.168.100.224	49490	209.197.3.15	443	tcp	ssl	0.175159	1021	42943	S1	-	-	0	ShADad	24	1989	47	44831	-
1601060278.996380	CuHQDJ2LkXoxUMSNq9	192.168.100.224	49224	209.197.3.24	443	tcp	ssl	0.192546	1015	37199	S1	-	-	0	ShADad	23	1947	41	38851	-
1601060285.128406	CJmsoK2MHCpoAdy8e3	192.168.100.224	49345	216.58.205.227	443	tcp	ssl	0.998926	1562	4281	S1	-	-	0	ShADad	15	2174	21	5133	-
1601060288.199814	C1hWRam833T8RyID	192.168.100.224	49346	216.58.205.227	443	tcp	ssl	10.136189	647	212	S3	-	-	0	ShADadf	5	859	5	424	-
